Nutrient1,Nutrient2,Value
"Fatty acids, total trans-polyenoic 13:0 (g)","Fatty acids, total saturated 4:0 (g)",-0.004805905705347947
"Fatty acids, total trans-polyenoic 13:0 (g)","Sugars, total (g)",-0.004379071399650272
"Fatty acids, total trans-polyenoic 13:0 (g)",Sucrose (g),-0.003996429714771055
"Fatty acids, total trans-polyenoic 13:0 (g)",Lactose (g),-0.0027680873773276377
"Vitamin E, added (mg)",Water (g),-0.002694316963749129
"Calcium, Ca (mg)","Fatty acids, total trans-polyenoic 13:0 (g)",-0.00251197974259889
"Selenium, Se (g)","Vitamin E, added (mg)",-0.002436839792740412
"Fatty acids, total trans-polyenoic 13:0 (g)","Tocopherol, beta (mg)",-0.002340142118041254
Lactose (g),"Fatty acids, total polyunsaturated 18:2 t,t (g)",-0.002331331397560983
Protein (g),"Vitamin E, added (mg)",-0.0022314778310220306
Proline (g),"Vitamin E, added (mg)",-0.002176168623061486
Folic acid (g),"Fatty acids, total trans-polyenoic 13:0 (g)",-0.0021373411636222816
"Fatty acids, total trans-polyenoic 13:0 (g)","Vitamin C, total ascorbic acid (mg)",-0.0021195085857284367
"Vitamin E, added (mg)","Potassium, K (mg)",-0.0021172384369872615
Fructose (g),"Fatty acids, total trans-polyenoic 13:0 (g)",-0.00209829852749111
"Vitamin E, added (mg)",Lysine (g),-0.002073769808123344
"Vitamin E, added (mg)",Glutamic acid (g),-0.002046786437317087
"Fatty acids, total trans-polyenoic 13:0 (g)","Fatty acids, total trans-polyenoic 18:3i (g)",-0.0020319754706621613
"Choline, total (mg)","Vitamin E, added (mg)",-0.002018785456058182
"Fatty acids, total trans-polyenoic 13:0 (g)",Theobromine (mg),-0.002009158870140066
Leucine (g),"Vitamin E, added (mg)",-0.001988421361036148
"Vitamin E, added (mg)",Serine (g),-0.00198008177460172
"Vitamin E, added (mg)",Valine (g),-0.0019673702559018643
Isoleucine (g),"Vitamin E, added (mg)",-0.001945550205063998
Pantothenic acid (mg),"Vitamin E, added (mg)",-0.0019397097556543934
"Vitamin E, added (mg)",Threonine (g),-0.001936602431475956
Histidine (g),"Vitamin E, added (mg)",-0.0019212707672779594
Phenylalanine (g),"Vitamin E, added (mg)",-0.0019204462201709222
"Vitamin E, added (mg)","Phosphorus, P (mg)",-0.0019022939305307321
"Vitamin E, added (mg)",Tyrosine (g),-0.0018870160151315879
"Vitamin E, added (mg)",Aspartic acid (g),-0.0018780759513046758
Alanine (g),"Vitamin E, added (mg)",-0.0018351518490108349
Methionine (g),"Vitamin E, added (mg)",-0.001774360070194471
"Fatty acids, total trans-polyenoic 13:0 (g)",Caffeine (mg),-0.001771418741586742
"Fatty acids, total polyunsaturated 18:2 t,t (g)",Betaine (mg),-0.0017647971315746715
Glucose (dextrose) (g),"Fatty acids, total trans-polyenoic 13:0 (g)",-0.001705261158686714
"Vitamin E, added (mg)",Cystine (g),-0.0016782369814160034
Phytosterols (mg),Vitamin D2 (ergocalciferol) (g),-0.001634688019864499
Protein (g),"Alcohol, ethyl (g)",-0.0016277857312536473
Tryptophan (g),"Vitamin E, added (mg)",-0.001621318373973112
"Fatty acids, total polyunsaturated 18:2 i (g)","Fatty acids, total trans-polyenoic 13:0 (g)",-0.0016155298952266514
Sucrose (g),"Fatty acids, total trans-polyenoic 15:1 (g)",-0.0016115229914399026
Glutamic acid (g),"Alcohol, ethyl (g)",-0.001593021492264962
Glycine (g),"Vitamin E, added (mg)",-0.0015927533786277601
Betaine (mg),"Vitamin E, added (mg)",-0.0015846100806582014
"Alcohol, ethyl (g)",Serine (g),-0.0015763215397705502
Maltose (g),"Fatty acids, total trans-polyenoic 13:0 (g)",-0.0015661328691437269
"Alcohol, ethyl (g)",Proline (g),-0.001553823911811596
Arginine (g),"Vitamin E, added (mg)",-0.0015476997224381384
"Alcohol, ethyl (g)",Cystine (g),-0.0015336188752810929
Fructose (g),Vitamin D2 (ergocalciferol) (g),-0.0015306042790659683
Fructose (g),"Vitamin E, added (mg)",-0.0015276201914049185
Phenylalanine (g),"Alcohol, ethyl (g)",-0.0015267004417404372
"Fatty acids, total polyunsaturated 18:2 t,t (g)","Fatty acids, total polyunsaturated 15:0 (g)",-0.0015077218847547181
"Alcohol, ethyl (g)",Arginine (g),-0.0015013918713864787
Tyrosine (g),"Alcohol, ethyl (g)",-0.0014916892534206202
"Fatty acids, total trans-polyenoic 13:0 (g)","Fatty acids, total polyunsaturated 18:2 t,t (g)",-0.0014912693213495615
Valine (g),"Alcohol, ethyl (g)",-0.0014894548219318699
"Alcohol, ethyl (g)",Tryptophan (g),-0.001487669305352797
"Fatty acids, total polyunsaturated 18:2 t,t (g)","Vitamin A, IU (IU)",-0.001479067366701601
"Alcohol, ethyl (g)","Fatty acids, total trans-polyenoic 13:0 (g)",-0.0014772754557934801
"Alcohol, ethyl (g)",Leucine (g),-0.0014710414080042924
"Selenium, Se (g)","Alcohol, ethyl (g)",-0.001461681832829821
"Alcohol, ethyl (g)",Aspartic acid (g),-0.001457812210270424
Threonine (g),"Alcohol, ethyl (g)",-0.0014344476573983536
Isoleucine (g),"Alcohol, ethyl (g)",-0.001433834576879335
Glucose (dextrose) (g),"Vitamin E, added (mg)",-0.001423769643558808
Adjusted Protein (g),"Fatty acids, total trans-polyenoic 13:0 (g)",-0.001417341266443453
"Alcohol, ethyl (g)",Alanine (g),-0.001395262922732665
"Alcohol, ethyl (g)",Histidine (g),-0.001391027822498857
"Alcohol, ethyl (g)",Methionine (g),-0.0013666812074298877
"Fatty acids, total polyunsaturated 18:2 t,t (g)",Vitamin B-12 (g),-0.0013645458250473596
"Fatty acids, total polyunsaturated 18:2 i (g)",Niacin (mg),-0.0013635334071589835
"Fatty acids, total saturated 14:1 (g)","Fatty acids, total polyunsaturated 18:2 t,t (g)",-0.001361542248997385
"Alcohol, ethyl (g)",Glycine (g),-0.0013568053214606107
"Tocopherol, delta (mg)","Fatty acids, total trans-polyenoic 13:0 (g)",-0.0013521709996412161
"Alcohol, ethyl (g)",Lysine (g),-0.0013482559385994601
"Fluoride, F (g)","Fatty acids, total trans-polyenoic 13:0 (g)",-0.0013477939245375027
Lutein + zeaxanthin (g),"Vitamin E, added (mg)",-0.0013409103775065849
"Fatty acids, total polyunsaturated 18:2 t not further defined (g)","Fatty acids, total polyunsaturated 18:2 t,t (g)",-0.001331117312463737
"Fatty acids, total polyunsaturated 18:2 t,t (g)","Fatty acids, total polyunsaturated 18:2 CLAs (g)",-0.0013041372092850079
"Fatty acids, total trans-polyenoic 13:0 (g)",Dihydrophylloquinone (g),-0.001299161859316715
"Vitamin E, added (mg)","Carotene, beta (g)",-0.0012838806747958447
"Fatty acids, total saturated 20:4 undifferentiated (g)","Vitamin E, added (mg)",-0.0012817715115063112
"Vitamin E, added (mg)",Cholesterol (mg),-0.0012624006929754157
"Fatty acids, total saturated 14:0 (g)","Vitamin E, added (mg)",-0.0012559478798554041
"Vitamin E, added (mg)","Fatty acids, total saturated (g)",-0.0012443540933434998
Phytosterols (mg),"Fatty acids, total polyunsaturated 18:2 t,t (g)",-0.0012336814693670681
"Vitamin E, added (mg)",Niacin (mg),-0.0012151749247153695
"Fatty acids, total polyunsaturated 18:2 i (g)",Glucose (dextrose) (g),-0.0012127334414764634
Niacin (mg),"Alcohol, ethyl (g)",-0.0012119782365915307
Thiamin (mg),"Alcohol, ethyl (g)",-0.0012080376553182015
Vitamin K (phylloquinone) (g),"Vitamin E, added (mg)",-0.0012025445741850598
