Nutrient1,Nutrient2,Value
"Zinc, Zn (mg)","Zinc, Zn (mg)",1.0
Leucine (g),Leucine (g),1.0
Lycopene (g),Lycopene (g),1.0
"Magnesium, Mg (mg)","Magnesium, Mg (mg)",1.0
"Manganese, Mn (mg)","Manganese, Mn (mg)",1.0
Methionine (g),Methionine (g),1.0
Pantothenic acid (mg),Pantothenic acid (mg),1.0
"Phosphorus, P (mg)","Phosphorus, P (mg)",1.0
"Potassium, K (mg)","Potassium, K (mg)",1.0
Isoleucine (g),Isoleucine (g),1.0
"Folate, total (g)","Folate, total (g)",1.0
"Fatty acids, total trans-polyenoic 22:4 (g)","Fatty acids, total trans-polyenoic 22:4 (g)",1.0
"Fluoride, F (g)","Fluoride, F (g)",1.0
"Folate, food (g)","Folate, food (g)",1.0
Hydroxyproline (g),Hydroxyproline (g),1.0
Galactose (g),Galactose (g),1.0
Glutamic acid (g),Glutamic acid (g),1.0
Histidine (g),Histidine (g),1.0
Retinol (g),Retinol (g),1.0
Riboflavin (mg),Riboflavin (mg),1.0
Tyrosine (g),Tyrosine (g),1.0
"Vitamin A, IU (IU)","Vitamin A, IU (IU)",1.0
Vitamin B-12 (g),Vitamin B-12 (g),1.0
Vitamin B-6 (mg),Vitamin B-6 (mg),1.0
Vitamin D (D2 + D3) (g),Vitamin D (D2 + D3) (g),1.0
Vitamin D2 (ergocalciferol) (g),Vitamin D2 (ergocalciferol) (g),1.0
Vitamin E (alpha-tocopherol) (mg),Vitamin E (alpha-tocopherol) (mg),1.0
Total lipid (fat) (g),Total lipid (fat) (g),1.0
"Tocotrienol, delta (mg)","Tocotrienol, delta (mg)",1.0
"Selenium, Se (g)","Selenium, Se (g)",1.0
"Sodium, Na (mg)","Sodium, Na (mg)",1.0
Stigmasterol (mg),Stigmasterol (mg),1.0
Theobromine (mg),Theobromine (mg),1.0
Thiamin (mg),Thiamin (mg),1.0
"Tocopherol, beta (mg)","Tocopherol, beta (mg)",1.0
"Tocopherol, gamma (mg)","Tocopherol, gamma (mg)",1.0
"Fatty acids, total trans-polyenoic 20:3 n-6 (g)","Fatty acids, total trans-polyenoic 20:3 n-6 (g)",1.0
Water (g),Water (g),1.0
Dihydrophylloquinone (g),Dihydrophylloquinone (g),1.0
Energy (kcal),Energy (kcal),1.0
"Fatty acids, total polyunsaturated (g)","Fatty acids, total polyunsaturated (g)",1.0
"Fatty acids, total polyunsaturated 16:1 c (g)","Fatty acids, total polyunsaturated 16:1 c (g)",1.0
"Fatty acids, total polyunsaturated 17:0 (g)","Fatty acids, total polyunsaturated 17:0 (g)",1.0
"Fatty acids, total polyunsaturated 18:1 c (g)","Fatty acids, total polyunsaturated 18:1 c (g)",1.0
"Fatty acids, total polyunsaturated 18:2 CLAs (g)","Fatty acids, total polyunsaturated 18:2 CLAs (g)",1.0
"Fatty acids, total polyunsaturated 18:2 n-6 c,c (g)","Fatty acids, total polyunsaturated 18:2 n-6 c,c (g)",1.0
"Cryptoxanthin, beta (g)","Cryptoxanthin, beta (g)",1.0
Betaine (mg),Betaine (mg),1.0
"Alcohol, ethyl (g)","Alcohol, ethyl (g)",1.0
Ash (g),Ash (g),1.0
Beta-sitosterol (mg),Beta-sitosterol (mg),1.0
"Choline, total (mg)","Choline, total (mg)",1.0
Campesterol (mg),Campesterol (mg),1.0
"Carotene, alpha (g)","Carotene, alpha (g)",1.0
Cholesterol (mg),Cholesterol (mg),1.0
"Fatty acids, total polyunsaturated 18:3 n-6 c,c,c (g)","Fatty acids, total polyunsaturated 18:3 n-6 c,c,c (g)",1.0
"Fatty acids, total polyunsaturated 20:2 n-6 c,c (g)","Fatty acids, total polyunsaturated 20:2 n-6 c,c (g)",1.0
"Fatty acids, total saturated 20:4 undifferentiated (g)","Fatty acids, total saturated 20:4 undifferentiated (g)",1.0
"Fatty acids, total saturated 22:0 (g)","Fatty acids, total saturated 22:0 (g)",1.0
"Fatty acids, total saturated 22:5 n-3 (DPA) (g)","Fatty acids, total saturated 22:5 n-3 (DPA) (g)",1.0
"Fatty acids, total saturated 4:0 (g)","Fatty acids, total saturated 4:0 (g)",1.0
"Fatty acids, total saturated 8:0 (g)","Fatty acids, total saturated 8:0 (g)",1.0
"Fatty acids, total trans-monoenoic (g)","Fatty acids, total trans-monoenoic (g)",1.0
"Fatty acids, total trans-polyenoic 13:0 (g)","Fatty acids, total trans-polyenoic 13:0 (g)",1.0
"Fatty acids, total saturated 20:0 (g)","Fatty acids, total saturated 20:0 (g)",1.0
"Fatty acids, total saturated 18:3 undifferentiated (g)","Fatty acids, total saturated 18:3 undifferentiated (g)",1.0
"Fatty acids, total polyunsaturated 20:3 undifferentiated (g)","Fatty acids, total polyunsaturated 20:3 undifferentiated (g)",1.0
"Fatty acids, total polyunsaturated 22:1 t (g)","Fatty acids, total polyunsaturated 22:1 t (g)",1.0
"Fatty acids, total polyunsaturated 24:1 c (g)","Fatty acids, total polyunsaturated 24:1 c (g)",1.0
"Fatty acids, total saturated 12:0 (g)","Fatty acids, total saturated 12:0 (g)",1.0
"Fatty acids, total saturated 14:0 (g)","Fatty acids, total saturated 14:0 (g)",1.0
"Fatty acids, total saturated 16:0 (g)","Fatty acids, total saturated 16:0 (g)",1.0
"Fatty acids, total saturated 18:0 (g)","Fatty acids, total saturated 18:0 (g)",1.0
Vitamin K (phylloquinone) (g),Vitamin K (phylloquinone) (g),1.0
Adjusted Protein (g),Adjusted Protein (g),1.0
Energy (kJ),Energy (kcal),0.9999936045969636
"Fatty acids, total trans-monoenoic (g)","Fatty acids, total polyunsaturated 18:1 t (g)",0.9984971429700229
"Fatty acids, total saturated 18:4 (g)","Fatty acids, total saturated 20:5 n-3 (EPA) (g)",0.9977398793665295
"Fatty acids, total polyunsaturated 18:2 t not further defined (g)","Fatty acids, total trans-polyenoic (g)",0.9969445318100094
Threonine (g),Leucine (g),0.9966992076501514
"Fatty acids, total saturated 8:0 (g)","Fatty acids, total saturated 12:0 (g)",0.996661854593622
Vitamin D (D2 + D3) (g),Vitamin D (IU),0.9966366207023154
Valine (g),Leucine (g),0.996577166918077
"Folate, total (g)","Folate, DFE (g)",0.9962860830373562
"Fatty acids, total saturated 20:5 n-3 (EPA) (g)","Fatty acids, total saturated 22:6 n-3 (DHA) (g)",0.9961976476272791
Isoleucine (g),Valine (g),0.9958222807667467
"Fatty acids, total saturated 18:1 undifferentiated (g)","Fatty acids, total monounsaturated (g)",0.9951186100391196
Threonine (g),Isoleucine (g),0.994891201840315
"Fatty acids, total saturated 22:5 n-3 (DPA) (g)","Fatty acids, total saturated 22:6 n-3 (DHA) (g)",0.9947453662482391
Threonine (g),Valine (g),0.9945364210487642
Leucine (g),Tyrosine (g),0.9945209989670565
Serine (g),Phenylalanine (g),0.9941623810246691
Valine (g),Tyrosine (g),0.9939307895190157
Isoleucine (g),Leucine (g),0.9936203978190691
"Fatty acids, total polyunsaturated 16:1 c (g)","Fatty acids, total trans-polyenoic 20:3 n-6 (g)",0.9934182943024951
"Folate, total (g)","Folate, food (g)",0.9933617667467667
Threonine (g),Alanine (g),0.9924018041902363
Phenylalanine (g),Leucine (g),0.9922544854520116
"Fatty acids, total saturated 22:6 n-3 (DHA) (g)","Fatty acids, total saturated 18:4 (g)",0.9921175122084118
Threonine (g),Lysine (g),0.9918493557497546
Tyrosine (g),Threonine (g),0.9903183905320527
Phenylalanine (g),Valine (g),0.9898217327177036
Tyrosine (g),Isoleucine (g),0.9897542643516893
Methionine (g),Lysine (g),0.989365961748357
Lysine (g),Leucine (g),0.9892756487600297
Serine (g),Leucine (g),0.9892712230460212
Isoleucine (g),Lysine (g),0.9891723514329446
Threonine (g),Histidine (g),0.9886601011291294
Alanine (g),Lysine (g),0.9884439370146878
Leucine (g),Histidine (g),0.9883259658860484
Phenylalanine (g),Isoleucine (g),0.9878003423413207
Alanine (g),Methionine (g),0.9876596830689068
Valine (g),Lysine (g),0.9872358368551231
Phenylalanine (g),Threonine (g),0.9871228385846093
Methionine (g),Threonine (g),0.9870822293618178
Tyrosine (g),Methionine (g),0.986803855104407
"Fatty acids, total saturated 18:4 (g)","Fatty acids, total saturated 22:1 undifferentiated (g)",0.9866828164929891
"Fatty acids, total saturated 20:5 n-3 (EPA) (g)","Fatty acids, total saturated 22:5 n-3 (DPA) (g)",0.9864802021746294
Alanine (g),Isoleucine (g),0.9862914461035593
Alanine (g),Leucine (g),0.9862906498570949
Lysine (g),Tyrosine (g),0.986092627470383
"Fatty acids, total saturated 22:5 n-3 (DPA) (g)","Fatty acids, total saturated 18:4 (g)",0.9851113762529747
Serine (g),Valine (g),0.9849817588004757
Methionine (g),Leucine (g),0.9849388811624397
Methionine (g),Isoleucine (g),0.9848576884494827
Valine (g),Alanine (g),0.9846448477948764
Histidine (g),Lysine (g),0.9844539993664926
Glutamic acid (g),Phenylalanine (g),0.9839157025981525
"Folate, food (g)","Folate, DFE (g)",0.9836041624131093
Threonine (g),Serine (g),0.9834541996782938
Histidine (g),Valine (g),0.9826766925694844
Valine (g),Methionine (g),0.9825772725301961
Tyrosine (g),Phenylalanine (g),0.9823552201289855
Histidine (g),Tyrosine (g),0.9822930926899007
Serine (g),Glutamic acid (g),0.9812641533412311
Arginine (g),Phenylalanine (g),0.9809664207607472
Threonine (g),Aspartic acid (g),0.9809343348154032
Methionine (g),Histidine (g),0.9808087735885676
Alanine (g),Tyrosine (g),0.9805291095940146
Tyrosine (g),Serine (g),0.9805193819352787
Histidine (g),Isoleucine (g),0.9796272075822007
"Vitamin A, RAE (g)",Retinol (g),0.9793273612372927
Isoleucine (g),Serine (g),0.9790021091385702
Alanine (g),Histidine (g),0.9790019882969001
Phenylalanine (g),Aspartic acid (g),0.9781364586710677
"Fatty acids, total saturated 20:5 n-3 (EPA) (g)","Fatty acids, total saturated 22:1 undifferentiated (g)",0.9778670318124779
Glutamic acid (g),Proline (g),0.9776265018134163
Aspartic acid (g),Arginine (g),0.9776049771657418
"Fatty acids, total saturated 22:1 undifferentiated (g)","Fatty acids, total saturated 22:5 n-3 (DPA) (g)",0.977375338907205
Arginine (g),Threonine (g),0.9772743495967317
Isoleucine (g),Tryptophan (g),0.9771333772086402
Arginine (g),Serine (g),0.976480711586806
Leucine (g),Glutamic acid (g),0.9762111294541782
"Sodium, Na (mg)",Ash (g),0.9762010785379107
Leucine (g),Aspartic acid (g),0.976110148692976
"Fatty acids, total saturated 22:1 undifferentiated (g)","Fatty acids, total saturated 22:6 n-3 (DHA) (g)",0.9760584832463052
Alanine (g),Glycine (g),0.9758862252126648
Arginine (g),Leucine (g),0.9756890937219326
Aspartic acid (g),Serine (g),0.975472362847168
Isoleucine (g),Aspartic acid (g),0.975329317002866
Arginine (g),Alanine (g),0.9752913984418898
Histidine (g),Phenylalanine (g),0.9752219725143135
Valine (g),Tryptophan (g),0.9750248883640885
"Fatty acids, total trans-polyenoic 22:4 (g)","Fatty acids, total trans-polyenoic 20:3 n-6 (g)",0.9744678887952464
"Fatty acids, total trans (g)","Fatty acids, total trans-monoenoic (g)",0.9737287025671842
Valine (g),Aspartic acid (g),0.9729850212188982
Arginine (g),Isoleucine (g),0.9728313347892376
Valine (g),Glutamic acid (g),0.9717864979402141
Alanine (g),Aspartic acid (g),0.9717657138935121
Alanine (g),Phenylalanine (g),0.9713586170235441
Phenylalanine (g),Lysine (g),0.9713048046383237
"Fatty acids, total trans (g)","Fatty acids, total polyunsaturated 18:1 t (g)",0.9710424955462821
Serine (g),Histidine (g),0.9710281594059171
Phenylalanine (g),Cystine (g),0.9703563090493307
"Fatty acids, total polyunsaturated 16:1 c (g)","Fatty acids, total trans-polyenoic 22:4 (g)",0.970329038851927
Cystine (g),Glutamic acid (g),0.9697162290223766
Lysine (g),Aspartic acid (g),0.9696501787246148
Valine (g),Arginine (g),0.9693132727454781
Serine (g),Alanine (g),0.9690165385458965
Isoleucine (g),Glutamic acid (g),0.9685976010860973
Cystine (g),Isoleucine (g),0.9677843685252272
"Fatty acids, total polyunsaturated 18:2 CLAs (g)","Fatty acids, total polyunsaturated 18:2 t not further defined (g)",0.9676012589891635
Phenylalanine (g),Tryptophan (g),0.9673192142376599
Glutamic acid (g),Threonine (g),0.9670987821472952
Serine (g),Lysine (g),0.966389825859583
Cystine (g),Aspartic acid (g),0.9661112308594054
Arginine (g),Lysine (g),0.9661058948133542
Leucine (g),Tryptophan (g),0.9657337470073022
Tyrosine (g),Aspartic acid (g),0.9654965528960037
Arginine (g),Tyrosine (g),0.9650168764526533
Tyrosine (g),Glutamic acid (g),0.964806299251199
Tryptophan (g),Threonine (g),0.9641451461629037
"Fatty acids, total trans-polyenoic 20:3 n-6 (g)","Fatty acids, total polyunsaturated 18:1 c (g)",0.9634420006916105
Valine (g),Cystine (g),0.963344312212757
"Fatty acids, total trans-polyenoic (g)","Fatty acids, total polyunsaturated 18:2 CLAs (g)",0.9629500947866101
Tryptophan (g),Tyrosine (g),0.9628829154618864
Phenylalanine (g),Methionine (g),0.9624808556886965
Histidine (g),Arginine (g),0.9623946786772707
Cystine (g),Threonine (g),0.9622949237800479
Cystine (g),Serine (g),0.9620111293027755
"Fatty acids, total polyunsaturated 16:1 c (g)","Fatty acids, total polyunsaturated 18:1 c (g)",0.9617373993781787
"Fatty acids, total saturated 10:0 (g)","Fatty acids, total saturated 8:0 (g)",0.9616891032390438
Leucine (g),Cystine (g),0.9610154931116539
Sucrose (g),"Sugars, total (g)",0.9603530404155511
Aspartic acid (g),Histidine (g),0.9600069589284658
